estudio,pais,site,estado_varredura,url_carreiras,vocabulario_encontrado
Honig Studios,Germany,https://honigstudios.com/,erro,,
Horrible Games S.r.l.,Italy,https://horribleguild.com/,sem-careers,https://horribleguild.com/eu/,
Horrible Guild,Italy,https://www.horribleguild.com/,sem-careers,https://horribleguild.com/eu/,
House of How Games,United States of America,https://www.houseofhow.com,ARTE,https://www.houseofhow.com/careers/,3d artist
Humble Bundle,United States of America,https://www.humblebundle.com/,js,https://jobs.jobvite.com/humble-bundle/jobs/,
Huqiao,Poland,https://www.huqiao.pl/,erro,,
Huuuge Games,Finland,https://huuugegames.com/,sem-arte,https://huuuge.recruitee.com/,
Hypersonic Laboratories,United States of America,https://hypersoniclaboratories.com/,sem-arte,https://www.hypersoniclaboratories.com/careers,
Hypixel,United States of America,https://hypixel.net/,ARTE,https://hypixel.net/jobs/,3d artist
iBLOXX Studios,Global,https://www.strayshot.game/,js,https://www.strayshot.game/careers,
Igloosoft Games,United States of America,https://www.igloosoft.org/,sem-careers,https://igloosoft.org/,
IGN,United States of America,https://ign.com/,sem-careers,https://www.ign.com/,
Illumix empowers brands to combine the digital & physical,United States of America,https://www.illumix.com/,sem-careers,https://www.illumix.com/,
ImagineDreams,Canada,https://imaginedreams.ca/,erro,,
Imba Interactive Pte. Ltd.,Singapore,https://www.imbainteractive.com/,sem-careers,https://imbainteractive.com/,
Imbellus,United States of America,https://www.imbellus.com/,erro,,
Immutable,Australia,https://www.immutable.com/,sem-arte,https://www.immutable.com/careers,
Improbable,Canada,https://www.improbable.io/,js,https://www.improbable.io/careers/,
IMV STUDIO,France,http://www.imvstudio.fr,erro,,
Infernozilla,United States of America,http://www.infernozilla.com,erro,,
Infinity Plus Two,Australia,https://gemsofwar.com/,sem-careers,https://gemsofwar.com/,
inkle Studios,United Kingdom of Great Britain and Northern Ireland,https://www.inklestudios.com/,sem-arte,https://www.inklestudios.com/joinus/,
InMotion Systems / HitTrax,United States of America,http://www.hittrax.com,erro,,
Inspiring Search,United Kingdom of Great Britain and Northern Ireland,https://inspiringsearch.com,sem-careers,https://inspiringsearch.com,
Intergalactic Agency,Canada,https://intergalactic.com/,js,https://intergalactic.com/jobs,
Inverge Studios,Spain,https://invergestudios.com/,ARTE,https://invergestudios.com/jobs/,"3d artist, 3d character"
ION LANDS,Global,https://www.ionlands.com,sem-careers,https://www.ionlands.com,
Iron Sight Studios,United States of America,https://ironsightstudios.com,erro,,
Ironbelly Studios,Canada,https://www.ironbellystudios.com/,sem-careers,https://www.ironbellystudios.com/,
"We forge teams, tools, and technology to deliver world-class quality which empowers studios everywhere.",Canada,https://www.ironbellystudios.com/,sem-careers,https://www.ironbellystudios.com/,
iScoot,United States of America,https://iscoot.game,sem-careers,https://iscoot.game,
iSoftBet,United Kingdom of Great Britain and Northern Ireland,https://www.isoftbet.com/,erro,,
It's Anecdotal,New Zealand,http://itsanecdotal.com/,erro,,
IVR-NATION,France,https://www.ivrnation.com/,js,https://www.ivrnation.com/jobs,
Jam.gg,France,https://jam.gg/fr,erro,,
Jellyfish Parade,United States of America,https://chouette.itch.io/,sem-careers,https://jellyfishparade.itch.io/,
Jetpack Interactive,Canada,http://jetpackinteractive.ca/,erro,,
Jintronix,Canada,https://jintronix.com/,js,https://jintronix.com/careers,
Juicy Beast,Canada,http://juicybeast.com/,erro,,
Jumb-O-Fun Games,Canada,http://www.jumbofungames.com/,erro,,
JumpStart Games,United States of America,https://www.jumpstart.com/,erro,,
Jungle Robots,United States of America,https://junglerobots.com,js,https://foton.games/jobs,
Junkfish Ltd,United Kingdom of Great Britain and Northern Ireland,https://www.teamjunkfish.com/,sem-arte,https://www.teamjunkfish.com/careers,
K Bros Games,United States of America,https://www.home.kbrosinc.com/,erro,,
Kaidro LLC,United States of America,https://kaidro.com/,sem-careers,https://kaidro.com/,
Kano,Canada,http://kanoapps.com,erro,,
Karta,United Kingdom of Great Britain and Northern Ireland,https://www.karta.game/,sem-arte,https://www.karta.game/careers,
KeelWorks,United Kingdom of Great Britain and Northern Ireland,https://www.keelworks.co.uk/,ARTE,https://www.keelworks.co.uk/jobs,3d generalist
Keen Software House,Czech Republic,https://www.keenswh.com/about-us/,sem-arte,https://www.keenswh.com/careers/,
Kenny Sun,United States of America,http://kennysun.com,erro,,
Kiagu Studios,Global,https://www.kiagu.com/,js,https://www.kiagu.com/careers,
Kickstarter,United States of America,https://www.kickstarter.com/,erro,,
KIDS' SHIELD SERVICES INC.,Canada,http://WWW.KIDSSHIELD.CA,erro,,
King Show Games,United States of America,https://www.ksg.com/,sem-careers,https://www.ksg.com/,
Kinkoid,Bulgaria,http://www.phoenix-media.biz/,erro,,
Knob Cat Games,United States of America,http://knobcat.com,erro,,
Knuddels GmbH & Co. KG,Germany,http://jobs.knuddels.de,erro,,
Kodable,United States of America,https://www.kodable.com,sem-arte,https://www.kodable.com/careers,
Kolibri Games,Germany,https://www.kolibrigames.com/,sem-arte,https://www.kolibrigames.com/career/,
Koza Games,United States of America,http://kozagames.com,erro,,
Kreis Immersive,Canada,http://www.kre.is,erro,,
Kube Games,Czech Republic,http://imperiumsgame.com,erro,,
Kuroro Beasts,Global,https://www.kuroro.com/,erro,,
Kuroro,Global,https://kuroro.com,sem-careers,https://kuroro.com,
Kwalee,United Kingdom of Great Britain and Northern Ireland,http://www.kwalee.com,erro,,
Kybolt,Ireland,https://kybolt.com,sem-arte,https://kybolt.com/careers,
Kythera AI,United Kingdom of Great Britain and Northern Ireland,https://kythera.ai/,sem-careers,https://www.kythera.ai/,
LAI Games,Singapore,https://laigames.com/,ARTE-home,https://www.laigames.com/,3d artist
Land & Sea,United Kingdom of Great Britain and Northern Ireland,https://www.landandsea.games/,sem-arte,https://www.landandsea.games/jobs,
Latent Space,United States of America,http://www.latentspace.co/,erro,,
Latitude,United States of America,https://latitude.io/,js,https://latitude.io/careers,
Lava Games Development Limited,United Kingdom of Great Britain and Northern Ireland,https://playafar.com/,js,https://playafar.com/careers,
League of Geeks,Australia,https://leagueofgeeks.com/,sem-arte,https://leagueofgeeks.com/careers,
Legends of Learning,United States of America,http://legendsoflearning.com,erro,,
LemonChili Games,United States of America,https://www.lemonchiligames.com/,js,https://lemonchiligames.com/,
"Level Ex, Inc.",United States of America,https://www.levelex.com/,sem-careers,https://www.levelex.com/,
Level Up,Belgium,https://www.levelupagency.eu/,sem-careers,https://www.levelupagency.eu/,
"Level52 Studios, LLC",United States of America,https://www.level52studios.com/,erro,,
LevelUp Markets,United States of America,https://levelup.markets,erro,,
Lightbulb Crew,France,https://lightbulbcrew.fr/,sem-arte,https://lightbulbcrew.fr/jobs/,
Lightning Rod Games,Canada,https://lightningrodgames.com,sem-arte,https://lightningrodgames.com/careers/,
Liminal Experiences,Global,https://liminalgg.notion.site/Liminal-Experiences-716da62f6c3f4972942e4340edce9a49,js,https://liminalgg.notion.site/careers,
Lingokids,Spain,https://lingokids.com/,sem-arte,https://jobs.lingokids.com/,
Lion Castle Entertainment,Netherlands,http://www.lion-castle.com,erro,,
Lionbridge,Germany,https://www.lionbridge.com/,sem-arte,https://www.lionbridge.com/join-our-team/,
Who We Are,United States of America,https://liv.tv/,sem-careers,https://liv.tv/,
Lo-Fi Games Ltd,United Kingdom of Great Britain and Northern Ireland,https://lofigames.com/,sem-arte,https://lofigames.com/jobs/,
Lockpick Games,Australia,https://lockpick.games/,js,https://lockpick.games/careers,
Lootfeed,United States of America,http://lootfeed.com,erro,,
Lost Again,Netherlands,http://www.lostagain.nl,erro,,
Lost Attic LLC,United States of America,https://www.lostatticgames.com/,sem-careers,https://www.lostatticgames.com/,
Lost Boys Interactive,United States of America,https://lostboysinteractive.com/careers,erro,,
Lost Native,United Kingdom of Great Britain and Northern Ireland,http://lostnative.co/,erro,,
LoveShark,United Kingdom of Great Britain and Northern Ireland,https://loveshark.io/,js,https://loveshark.io/careers,
Lucid Games,United Kingdom of Great Britain and Northern Ireland,https://www.lucidgames.co.uk/,sem-arte,https://www.lucidgames.co.uk/careers/,
Lumi Interactive,Australia,https://www.playkinderworld.com/,sem-arte,https://www.playkinderworld.com/careers,
Lunacy Studios,Global,https://lunacystudios.com/,sem-arte,https://lunacystudios.com/careers/,
Lunarch Studios,Canada,http://lunarchstudios.com,erro,,
Mac n Cheese Games,Switzerland,http://www.macncheesegames.com,erro,,
Machinations,Luxembourg,https://machinations.io,sem-arte,https://machinations.io/careers,
Made on Earth Games,Cyprus,https://www.linkedin.com/company/made-on-earth-games/,ARTE,https://www.linkedin.com/jobs/artist-jobs?trk=organization_guest-browse_jobs,"3d artist, 3d character, 3d generalist, character artist"
Madruga Works,United Kingdom of Great Britain and Northern Ireland,https://madrugaworks.com/,sem-careers,https://madrugaworks.com/,
MaFi Games,Global,https://www.captain-of-industry.com/,sem-arte,https://coigame.com/Jobs/Open-Positions,
Magic Fuel Games,United States of America,https://www.magicfuelgames.com/,erro,,
Magic Leap,United States of America,https://www.magicleap.com/en-us,sem-careers,https://www.magicleap.com/,
Magnific Games GmbH,Germany,https://www.magnificgames.com/,sem-careers,https://www.magnificgames.com/,
Mana Core Games,Romania,http://www.manacoregames.com,erro,,
Manticore Games,United States of America,https://www.manticoregames.com/,sem-arte,https://www.manticoregames.com/careers/,
MarcoPolo Learning,United Kingdom of Great Britain and Northern Ireland,https://www.marcopololearning.com/,js,https://marcopololearning.bamboohr.com/careers,
Mars4,Lithuania,https://www.mars4.me/,sem-arte,https://www.mars4.me/careers,
Martian Brothel,United States of America,https://www.martianbrothelgames.com/,erro,,
Maschinen-Mensch,Germany,http://maschinen-mensch.com/,erro,,
Massive Miniteam,Germany,https://massiveminiteam.com/,sem-arte,https://www.thqnordicmobile.com/en/jobs/,
Material10,United Kingdom of Great Britain and Northern Ireland,https://www.linkedin.com/company/material10,ARTE-home,https://uk.linkedin.com/company/m10xyz,"3d artist, modeler"
Maximum Entertainment,United States of America,https://maximument.com,sem-arte,https://maximument.com/careers/,
MBS STUDIOS,Singapore,https://mbsstudios.com/,erro,,
"MedCognition, Inc",United States of America,https://medcognition.com/,sem-careers,https://medcognition.com/,
Media Two,Global,https://www.mediatwo.net/,sem-careers,https://www.mediatwo.net/,
Mediatonic,United Kingdom of Great Britain and Northern Ireland,https://www.mediatonicgames.com/,sem-arte,https://www.mediatonicgames.com/careers,
Mega Particle,Spain,https://www.megaparticle.com,sem-careers,https://www.megaparticle.com,
Megacrush,Canada,https://www.megacru.sh/,sem-arte,https://www.megacru.sh/careers/,
Melon Cube Studios,United Kingdom of Great Britain and Northern Ireland,http://meloncubestudios.com,erro,,
Meme Wars,Global,https://www.linkedin.com/company/meme-wars,sem-arte,https://www.linkedin.com/jobs/search?trk=organization_guest_guest_nav_menu_jobs,
Mercer Project,United States of America,https://mercerproject.com/,sem-careers,https://mercerproject.com/,
Merlino Games,Global,https://www.merlinogames.com/,sem-arte,https://store.steampowered.com/,
Meta Elf Studio,Canada,https://www.linkedin.com/company/metaelf-studio1,sem-arte,https://www.linkedin.com/jobs/search?trk=organization_guest_guest_nav_menu_jobs,
MetaBit Games Ltd,Germany,https://metabit.gg/,erro,,
Metamoki Inc,United States of America,https://www.metamoki.com,sem-careers,https://metamoki.com/,
Metanaut,Canada,https://metanautvr.com,sem-arte,https://metanautlabs.com/careers/,
Metaverse,United States of America,https://angelicthegame.com/,sem-arte,https://angelicthegame.com/careers,
MEXC,Singapore,https://www.mexc.com/,erro,,
Miami Avalon Ltd,United Kingdom of Great Britain and Northern Ireland,https://www.miamiavalon.com,ARTE,https://www.miamiavalon.com/jobs,3d artist
Mibo,Netherlands,https://getmibo.com/,sem-careers,https://getmibo.com/,
Midnite,Italy,https://www.midnite.games/,sem-careers,https://www.midnite.games/,
Midow Studios,Malta,https://midowstudios.com/,sem-arte,https://midowstudios.com/,
Mighty Bear Games,Singapore,https://mightybeargames.com/careers,erro,,
Milky Tea,United Kingdom of Great Britain and Northern Ireland,https://www.milkytea.com,sem-arte,https://www.milkytea.com/home#jobs,
MindPort,Germany,https://www.mindport.co/,sem-arte,https://www.mindport.co/career,
MLC,United Kingdom of Great Britain and Northern Ireland,http://mlc.studio,erro,,
Mobius Digital,United States of America,https://www.mobiusdigitalgames.com/,sem-arte,https://www.mobiusdigitalgames.com/jobs.html,
Modern Storyteller,Australia,https://modern-storyteller.com,js,https://modern-storyteller.com/careers/,
Modern Wolf,United Kingdom of Great Britain and Northern Ireland,https://modernwolf.net/,sem-careers,https://modernwolf.net/,
MonkeyFactory,Switzerland,https://www.wildplanetsurvival.com,sem-careers,https://www.wildplanetsurvival.com,
Monochrome Workshop,United States of America,https://www.monochromerpg.com/,sem-careers,https://orkza.com/,
Monokel,Germany,http://monokel.de,erro,,
Monomi Park,United States of America,http://www.monomipark.com,erro,,
Mooi Studios GmbH,Germany,https://mooistudios.com,erro,,
Moon Mode,Sweden,https://www.moonmode.com/,sem-careers,https://www.moonmode.com/,
Moon Moon Moon,United States of America,http://www.moonmoonmoon.camp,erro,,
Mooncat Games,Sweden,http://mooncat.games,erro,,
Moonray PBC,United States of America,https://moonray.game,erro,,
Moonrock,United States of America,https://www.moonrock.biz/,sem-careers,https://www.moonrock.biz/,
Motion Logic Studios,United States of America,http://Motionlogicstudios.com,erro,,
"Mouldbreaker Interactive, LLC",United States of America,https://www.mouldbreaker.com/about,erro,,
Mountaintop Studios,Global,https://www.mountaintop.gg/,erro,,
MXT,United Kingdom of Great Britain and Northern Ireland,https://mxt.co.uk/,sem-careers,https://www.mxt.co.uk/,
My Neighbor Alice / Chromaway AB,Global,https://www.myneighboralice.com/,erro,,
Mysteria Studio UG,Germany,https://mysteriastudio.com/,sem-arte,https://mysteriastudio.com/#OpenPositions,
MythFactory,United States of America,https://www.mythfactory.xyz/,js,https://mythfactory.xyz/careers,
Mythwright,United Kingdom of Great Britain and Northern Ireland,https://mythwright.com/,sem-careers,https://mythwright.com/,
N3TWORK,United States of America,https://n3twork.com/,erro,,
Nacun Studios,Austria,https://nacun-studios.com,erro,,
NantGames,United States of America,https://nantgames.com/,sem-arte,https://nantgames.com/#careers,
Navigator Games Ltd,Canada,https://navigatorgames.ca/,sem-careers,https://ironmaidenlegacy.com/,
Ndemic Creations,United Kingdom of Great Britain and Northern Ireland,https://www.ndemiccreations.com/en/19-careers,sem-arte,https://www.ndemiccreations.com/en/19-careers,
Neo Cybernetica,United States of America,https://www.neocybernetica.com/,sem-arte,https://www.neocybernetica.com/careers,
NEO Futuropolis,Singapore,https://neo-futuropolis.io/,erro,,
Nequinox Studios,United Kingdom of Great Britain and Northern Ireland,https://nequinox-studios.com/,sem-careers,https://nequinox-studios.com/,
Netspeak Games,United Kingdom of Great Britain and Northern Ireland,https://netspeakgames.com/,sem-careers,https://netspeakgames.com/,
Neurolabs,United Kingdom of Great Britain and Northern Ireland,https://www.neurolabs.ai/,sem-careers,https://www.neurolabs.ai/,
New Game+,United States of America,https://www.newgameplus.live/,sem-careers,https://www.odyssey.stream/,
Shirakumo Games,Switzerland,https://shirakumo.org,ARTE,https://shirakumo.org/jobs,modeller
Nifty Productions,Switzerland,http://www.nifty-productions.com/,erro,,
Night Garden Studio,Canada,http://www.nightgardenstudio.com,erro,,
Night School Studio,United States of America,https://nightschoolstudio.com/,sem-arte,https://nightschoolstudio.com/work-with-us/,
Nightmire AS,Norway,http://theboggame.com/,erro,,
Niko Partners,United States of America,https://nikopartners.com/,js,https://nikopartners.com/careers,
No Moss Studios,Australia,https://studios.nomoss.co/,erro,,
Noodle Cat Games,United States of America,https://noodlecatgames.com/,sem-careers,https://noodlecatgames.com/,
Not Doppler,Australia,https://studio.notdoppler.com/,sem-arte,https://studio.notdoppler.com/#jobs,
NotGames Ltd,United Kingdom of Great Britain and Northern Ireland,http://www.notgames.co.uk,erro,,
NOWHERE,United States of America,https://www.urnowhere.com/,sem-careers,https://www.nowhere.io/,
OcuDigital Technologies Inc,Canada,https://neurovisualtrainer.com,sem-arte,https://neurovisualtrainer.com/careers/software-engineer-phaser-typescript/,
Onessus,United States of America,https://www.onessus.com,js,https://www.onessus.com/careers,
Onyx Studio,Singapore,https://onyx.studio/,js,https://www.onyx.studio/careers,
Oooh,United States of America,https://oooh.tv/,sem-careers,https://1sportpit.ru/,
Original Games,Portugal,https://originalgames.io,sem-arte,https://originalgames.io/careers,
OrionGames,United States of America,http://www.oriongames.net,erro,,
Otherside Entertainment,United States of America,https://otherside-e.com/wp/,sem-arte,https://careers.otherside-e.com/,
Outlaw's Vengeance,United Kingdom of Great Britain and Northern Ireland,http://outlawsvengeance.com,erro,,
Outplay Entertainment,United Kingdom of Great Britain and Northern Ireland,https://www.outplay.com/,sem-arte,https://www.outplay.com/join-our-team/,
Outright Games,United Kingdom of Great Britain and Northern Ireland,https://outrightgames.com/,erro,,
Outscal Technologies Private Limite,Global,https://www.outscal.com/,erro,,
Outscal Technologies Private Limited,Global,https://www.outscal.com/,erro,,
Oxalis Games Ltd,United Kingdom of Great Britain and Northern Ireland,https://oxalis.games/,sem-careers,https://www.oxalis.games/,
Packsify LLC,United States of America,https://www.packsify.com,sem-arte,https://www.packsify.com/careers,
Panenka Football Manager,Global,http://www.panenka.ai,erro,,
Panoramik Games,Cyprus,https://panoramikgames.com/,sem-careers,https://panoramikgames.com/,
Paper Cult,Canada,https://www.papercultgames.com/,sem-careers,https://www.papercultgames.com/,
We Value:,Denmark,http://www.papercuttergames.com,erro,,
Paradowski,United States of America,https://paradowski.com/,js,https://paradowski.com/jobs,
Pawsmonaut Games,United Kingdom of Great Britain and Northern Ireland,https://www.pawsmonaut.games,sem-careers,https://www.pawsmonaut.games,
Peace Island LLC,United States of America,http://www.peaceislandgame.com,erro,,
Penrose Studios,United States of America,https://www.penrosestudios.com/,sem-careers,https://www.penrosestudios.com/,
Pentasia,Malta,https://www.pentasia.com/,sem-arte,https://www.pentasia.com/cm/candidates/jobs,
PerBlue,United States of America,http://www.perblue.com,erro,,
Perfect Crime Games,United Kingdom of Great Britain and Northern Ireland,https://www.perfectcrimegames.com/,sem-arte,https://www.perfectcrimegames.com/careers,
Perpetual Games,United Kingdom of Great Britain and Northern Ireland,https://linktr.ee/ElegosGame,erro,,
PHL Collective,United States of America,http://phlcollective.com/,erro,,
"Phoenix Arena, LDA",Global,https://www.phoenixarena.io/,erro,,
Pieces Interactive,Sweden,https://www.piecesinteractive.se/,erro,,
Piepacker,France,https://piepacker.com/,erro,,
Pine Creek Games,Denmark,http://www.pinecreekgames.com,erro,,
Pineapple Studios,United Kingdom of Great Britain and Northern Ireland,https://www.pineapple-studios.co.uk/,erro,,
Pitchkid,Norway,https://pitchkid.com/,sem-careers,https://pitchkid.com/,
PitStop,United Kingdom of Great Britain and Northern Ireland,https://pitstopproductions.co.uk/,sem-arte,https://www.pitstopproductions.co.uk/careers,
Pixel Edge Games,Poland,http://www.pixeledgegames.com/,erro,,
Pixel Legend,Poland,https://www.pixellegend.com,js,https://www.pixellegend.com/careers,
PIXO VR,United States of America,https://pixovr.com/,sem-arte,https://pixovr.com/careers-2/,
Plan A Collective,Czech Republic,http://planacollective.com,erro,,
PlayByte,United States of America,https://www.playbyte.io/,sem-careers,https://www.playbyte.io/,
Player One Trailers,United States of America,https://www.playeronetrailers.com/,sem-arte,https://www.playeronetrailers.com/careers,
Player Two PR,United Kingdom of Great Britain and Northern Ireland,http://www.playertwopr.com/,erro,,
Players Attic,United Kingdom of Great Britain and Northern Ireland,https://playersattic.com,erro,,
PlayEveryWare,United States of America,https://www.playeveryware.com/,sem-arte,https://www.playeveryware.com/careers,
Playmake,United States of America,http://www.playmake.games/,erro,,
Playstack Ltf.,Global,https://playstack.com/,sem-arte,https://www.playstack.com/careers/localisation-specialist/,
PlayStation Global,United States of America,https://www.playstation.com/en-us/corporate/playstation-careers/,ARTE,https://careers.playstation.com/,3d artist
Playsum,United States of America,https://www.playsum.live/,sem-arte,https://www.playsum.live/careers,
PlaytestCloud GmbH,Germany,http://www.playtestcloud.com,erro,,
Pleasart Studios,Poland,https://www.pleasartstudios.com/,sem-careers,https://www.pleasartstudios.com/,
Plus Infinity Studios,United States of America,https://midjungard.com/,erro,,
Pocket Worlds,United States of America,https://www.pocketworlds.com/,sem-arte,https://www.pocketworlds.com/careers,
Pocketwatch Games,United States of America,http://www.pocketwatchgames.com,erro,,
Poleaxe Games,United States of America,https://www.empireofember.com/,erro,,
Polyart Studio,United Kingdom of Great Britain and Northern Ireland,https://www.polyart.io/,sem-careers,https://www.polyart.io/,
Pomsky Games,Canada,https://pomsky.games,sem-careers,https://pomsky.games,
Poncle,United Kingdom of Great Britain and Northern Ireland,https://poncle.games/,sem-careers,https://poncle.games/,
Poorly Timed Games,United States of America,https://poorlytimedgames.com/,erro,,
Portal Fantasy,Global,https://portalfantasy.io,erro,,
Possibility Space,United States of America,https://www.possibility.co/,erro,,
Powerspike,United States of America,https://powerspike.tv/,sem-careers,https://livecurrent.com/,
PRELOADED,United Kingdom of Great Britain and Northern Ireland,http://www.preloaded.com,erro,,
Primed Technologies,United States of America,https://primed.one,sem-careers,https://primed.one,
Probably Monsters,United States of America,https://www.probablymonsters.com/,js,https://www.probablymonsters.com/careers,
Project SEED,Global,https://projectseed.io,sem-careers,https://agenceme.cc/,
Project172,United States of America,https://Project172.com,js,https://Project172.com/careers,
Proxify,Sweden,https://career.proxify.io/,erro,,
Proxima,United States of America,https://londonvp.com/our-portfolio/proxima/,js,https://londonvp.com/careers,
PTW,United Kingdom of Great Britain and Northern Ireland,https://www.ptw.com/,js,https://side.inc/jobs,
About Us,Australia,https://loftia.gg/,sem-arte,https://loftia.gg/jobs/,
Qloud Games,Global,https://loftia.gg,sem-arte,https://loftia.gg/jobs/,
Question,United States of America,https://www.questiongames.com/,sem-arte,https://www.questiongames.com/careers,
QuestYard,United States of America,https://questyard.org/,sem-arte,https://questyard.org/,
"Radian-Helix Media, LLC",United States of America,https://radianhelix.com,sem-arte,https://radianhelix.com/careers,
Ragnarok,Switzerland,https://www.bloodloop.org/home,erro,,
Ramen VR,United States of America,https://ramenvr.com,sem-arte,https://www.ramenvr.com/careers,
Rara,United States of America,https://rara.co,sem-careers,https://rara.co,
Rascal Games,United States of America,https://www.rascalgames.com/,js,https://www.rascalgames.com/jobs,
Raw Fury,Sweden,https://rawfury.com/,sem-arte,https://jobs.rawfury.com/,
REALM,Global,https://realmgame.co,erro,,
RealXP Lab,United States of America,https://www.realxplab.com,sem-arte,https://www.realxplab.com/careers,
Reanimated Digital,Australia,https://www.reanimateddigital.com/,erro,,
Red Barrels Games,Canada,https://redbarrelsgames.com/,sem-arte,https://redbarrelsgames.com/careers/,
RedG Studios,United States of America,https://www.redgstudios.com/,erro,,
"Redstone Interactive, LTD",Canada,https://playbtw.com/press/,erro,,
Remarkable,United States of America,http://remarkable.is/,erro,,
remote control productions,Germany,http://r-control.de/index_en.php,erro,,
Render Dreams,Austria,https://www.render-dreams.ai,erro,,
Resistance Studio,Netherlands,https://www.resistancestudio.com,sem-careers,https://www.resistancestudio.com,
WE ♥ GAMEPLAY,Sweden,https://retroid.com/,erro,,
Retrosoft Studios,United States of America,http://retrosoftstudios.com,erro,,
Reverb Communications,United States of America,http://reverbinc.com/,erro,,
Revolutionary Concepts,Australia,http://revolutionaryconcepts.games,erro,,
Rivers and Wine Studios,Germany,http://upside-drown.de/,erro,,
Rivet Games,United Kingdom of Great Britain and Northern Ireland,https://www.rivet-games.com/,sem-arte,https://www.rivet-games.com/careers,
Rivrs,France,https://rivrs.io/,erro,,
Robot Sea Monster,United States of America,https://robotseamonster.com/,sem-careers,https://rsm-studio.com/,
Rogue Games,United States of America,http://rogueco.com,erro,,
ROKiT,United States of America,https://rokitgames.com/,sem-careers,https://rokitgames.com/,
Rooster Teeth,United States of America,https://roosterteeth.com/,erro,,
Rose City Games,United States of America,https://www.rosecitygames.com/,sem-arte,https://www.rosecitygames.com/jobs,
Rose-Tinted Games,United States of America,https://www.genfanad.com,sem-arte,https://store.steampowered.com/,
Rovoox,Cyprus,https://www.rovoox.com/,sem-arte,https://www.rovoox.com/careers.html,
Runway Game / FFG LLC,United States of America,http://www.runwaygame.com,erro,,
RUNWILD Entertainment Ltd,United Kingdom of Great Britain and Northern Ireland,http://www.runwildent.com,erro,,
Rushdown Studios,United States of America,https://www.rushdownstudio.com/,sem-arte,https://www.rushdownstudio.com/careers,
Saber Interactive Sweden,Global,https://saber3d.com/,erro,,
Sadetta,Finland,http://sadetta.com/,erro,,
Saguni Studio,Global,http://saguni.studio,erro,,
Saltwater Games,United Kingdom of Great Britain and Northern Ireland,https://saltwatergames.com/,erro,,
Salvo Software,United States of America,http://www.salvosoftware.com,erro,,
Sanctuary,France,https://www.sanctuary-rts.com/,erro,,
Sandbox VR,United States of America,https://sandboxvr.com/,sem-arte,https://sandboxvr.com/careers,
Sanzaru,United States of America,https://sanzaru.com/,sem-arte,https://sanzaru.com/careers/,
Sarepta studio,Norway,https://sareptastudio.com/,ARTE,https://sareptastudio.com/work-with-us/,3d artist
SCAD,United States of America,https://www.scad.edu/,erro,,
Sealost Interactive,United States of America,https://sealostinteractive.com/,erro,,
Second Dinner,United States of America,https://seconddinner.com/,js,https://jobs.ashbyhq.com/SecondDinner,
Pillars of our Studio,United States of America,https://secondhalf.games/,sem-arte,https://secondhalf.games/jobs/,
Seed Games International Pte. ltd,Global,https://projectseed.io/,sem-careers,https://agenceme.cc/,
Seepia Playables,Global,http://seepia.com,erro,,
Seismic Squirrel,United States of America,https://www.seismicsquirrel.com/,sem-arte,https://www.seismicsquirrel.com/jobs,
Seismic Squirrel,United States of America,https://www.seismicsquirrel.com/,sem-arte,https://www.seismicsquirrel.com/jobs,
Shedbuilder Games,Canada,http://www.shedbuildergames.com/,erro,,
Shiny Box Interactive,United States of America,https://shinyboxinteractive.com/,erro,,
Shiny Dynamics GmbH,Germany,https://www.linkedin.com/company/shiny-dynamics/,sem-arte,https://www.linkedin.com/jobs/search?trk=organization_guest_guest_nav_menu_jobs,
Shockworks Games,Poland,https://shockworkgames.com/,sem-careers,https://percaya4dgame.site/,
Sigil Softworks,United States of America,https://sigilsoftworks.com,sem-careers,https://www.sigilsoftworks.com/,
Silver Rain Games,United Kingdom of Great Britain and Northern Ireland,https://www.silverraingames.com/,sem-careers,https://www.surgentstudios.com/,
Simteractive,Ireland,https://www.simteractive.com,erro,,
Sine Wave Entertainment,United Kingdom of Great Britain and Northern Ireland,https://sine.space/,sem-careers,https://sine.space/,
Sirvo Studios,United States of America,http://guildlings.com/,erro,,
Size Five,United Kingdom of Great Britain and Northern Ireland,https://www.sizefivegames.com,sem-careers,https://www.sizefivegames.com,
Sketchbook Games,United Kingdom of Great Britain and Northern Ireland,http://sketchbook.games/,erro,,
Skyhook Games,United Kingdom of Great Britain and Northern Ireland,https://www.skyhookgames.com/,ARTE,https://skyhookgames.com/people-careers/,3d character
Skymap Games,United States of America,https://skymap.com/,js,https://www.useparallel.com/skymapgames/careers,
Sledgehammer Games,United States of America,https://sledgehammergames.com/,sem-arte,https://careers.sledgehammergames.com/,
Slug Disco Studios Limited,United Kingdom of Great Britain and Northern Ireland,https://slugdisco.com,ARTE,https://slugdisco.com/category/jobs/,character artist
smashit.games,Australia,https://smashit.games,sem-careers,https://smashit.games,
SMG Studio,Australia,https://smgstudio.com/,ARTE,https://www.linkedin.com/company/smg-studio,"3d artist, 3d generalist, modeler, texture artist"
Smile-Break,United States of America,https://smile-break.com,js,https://www.useparallel.com/smilebreak/careers,
Snackbar Studio,Italy,https://snackbarstudio.com,sem-careers,https://snackbarstudio.com,
Snowman,Canada,https://www.builtbysnowman.com/,sem-arte,https://www.builtbysnowman.com/jobs/,
SOFTGAMES,Germany,https://www.softgames.de/,sem-arte,https://www.softgames.com/gaming-jobs-in-berlin/,
