estudio,pais,cidade,site,ja_na_campanha,tem_vaga_disciplina,url_da_vaga,veto_encontrado,observacao
M2 Film,Dinamarca,Aarhus,https://www.m2film.dk/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://m2film.dk/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/m2-film/"
Mads Juul Storyboard,Dinamarca,Viborg,https://www.mjstoryboard.blogspot.com,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/mads-juul-storyboard/
Nice Ninja,Dinamarca,Copenhagen,https://niceninja.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/nice-ninja/"
Nørlum,Dinamarca,Viborg,https://www.noerlum.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/norlum/"
Ouros Animation,Dinamarca,Viborg,https://www.ouros.net,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/ouros-animation/"
Paracosmic Studios,Dinamarca,Viborg,https://www.paracosmicstudios.dk,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/paracosmic-studios/
Quick Draw,Dinamarca,Viborg,https://www.jonasmjensen.blogspot.com,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/quick-draw/
Re:Frame Studio,Dinamarca,Viborg,https://www.reframestudio.dk,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/reframe-studio/"
Reto Moto,Dinamarca,Copenhagen,https://www.reto.dk/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/reto-moto/"
Rokoko,Dinamarca,Copenhagen,https://www.rokoko.com,nao,nao_encontrada,,,ATS detectado (teamtailor) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/rokoko/
Sammy Torres,Dinamarca,Viborg,https://www.sammytorres.wixsite.com/portfolio,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/sammy-torres/
Slipgate Ironworks,Dinamarca,Aalborg,https://www.slipgate-ironworks.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Slipgate Ironworks. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/slipgate-ironworks/
Sun Creature,Dinamarca,Copenhagen,https://suncreature.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Sun Creature (2ª via). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/sun-creature/
SYBO Games,Dinamarca,Copenhagen,https://sybogames.com/,nao,nao_encontrada,,,ATS detectado (teamtailor) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/sybo-games/
TGB VFX,Dinamarca,Copenhagen,https://www.tgbvfx.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/tgb-vfx/
Tumblehead Animation,Dinamarca,Viborg,https://www.tumblehead.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Tumblehead. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/tumblehead-animation/
Unity Technologies,Dinamarca,Copenhagen,https://unity.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://unity.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/unity-technologies/"
Vizlab Studios,Dinamarca,Viborg,https://vizlabstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/vizlab-studios/"
Wil Film,Dinamarca,Copenhagen,https://www.wilfilm.dk/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.wilfilm.dk/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/wil-film/"
X Hamburg,Dinamarca,Frederiksberg Bacon X,https://baconx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bacon-x/"
Triton Digital,Eslováquia,Bratislava,https://www.triton.digital/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/triton-digital/"
3D2D Frente,Espanha,Madrid,https://www.3d2dfrente.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/3d2d-frente/
3Doubles Produciiones,Espanha,Santa Cruz de Tenerife,https://www.3doubles.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): 3Doubles Producciones. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/3doubles-produciiones/
ATLANTIS Animation,Espanha,Santa Cruz de Tenerife Spécialités Animation 3D Long métrage Séries ATLANTIS Ani,https://atlantisanimation.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://atlantisanimation.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/atlantis-animation-tenerife/"
B-WATER ANIMATION STUDIOS,Espanha,Santa Cruz de Tenerife,https://b-waterstudios.com/#,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): B-Water Animation Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/b-water-animation-studios/
Birdland Animation,Espanha,Las Palmas de Gran Canaria,https://birdlandanimation.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/birdland-animation/
El Ranchito VFX,Espanha,Madrid,https://www.elranchito.es/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): El Ranchito. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/el-ranchito-vfx/
Fortiche,Espanha / França,Las Palmas de Gran Canaria Montpellier Paris,https://forticheprod.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Fortiche Production. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/fortiche/
Free Your Mind,Espanha,Madrid,https://www.fym.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/free-your-mind/"
Hampa Animation Studio,Espanha,Valencia,https://www.hampastudio.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Hampa Studio. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/hampa-animation-studio/
i-Real Studios,Espanha,Madrid,https://www.i-realstudios.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/i-real-studios/
Illusorium Studios,Espanha,Madrid,https://illusoriumstudios.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Illusorium Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/illusorium/
Keytoon,Espanha,Valencia,https://www.keytoon.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Keytoon Animation (2ª via). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/keytoon/
La Huella FX,Espanha,Madrid,https://www.lahuellafx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/la-huella-fx/"
Lanczos,Espanha,Madrid,https://www.lanczos.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/lanczos/"
Mediatonic,Espanha,Madrid,https://www.mediatonicgames.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.epicgames.com/site/en-US/careers/jobs?company=Mediatonic&amp;gh_src=1d0ec4e74us): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/mediatonic-3/"
Mediatonic,Espanha,Madrid,https://www.mediatonicgames.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.epicgames.com/site/en-US/careers/jobs?company=Mediatonic&amp;gh_src=1d0ec4e74us): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/mediatonic/"
Morgana Studios,Espanha,Madrid,https://www.morganastudios.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Morgana Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/morgana-studios/
Onirikal Studio,Espanha,Barcelona,https://www.onirikal.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/onirikal-studio/
Raised By Monsters,Espanha,Madrid,,nao,nao_verificado,,,Sem site publicado na ficha 3DVF. | ficha: https://3dvf.com/en/studio/raised-by-monsters/
Serena,Espanha,Madrid,https://www.serena.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/serena/"
The Frank Barton Company,Espanha,Madrid,https://www.thefrankbartoncompany.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): The Frank Barton Company. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/the-frank-barton-company/
The SPA Studios,Espanha,Madrid,https://www.thespastudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/the-spa-studios/"
Twin Pines VFX,Espanha,Madrid,https://www.twinpines.es/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Twin Pines. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/twin-pines-vfx/
USER T38,Espanha,Madrid,https://www.usert38.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): User T38. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/user-t38/
Virtual Art,Espanha,Valencia,https://www.virtualart.es/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/virtual-art/"
A52,EUA,Los Angeles,https://www.a52.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/a52/"
After Party,EUA,New York,https://www.afterpartyvfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/after-party/"
Alkemy X,EUA / Países Baixos / Canadá,New York Philadelphie Amsterdam Burbank Vancouver,https://www.alkemy-x.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/alkemy-x/"
Alt.vfx,EUA / Austrália,Melbourne Sydney Brisbane Los Angeles Tokyo,https://altvfx.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Alt.VFX (Colin Renshaw, fundador e diretor). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/alt-fx/"
Animasia Studio,EUA,Los Angeles Kuala Lumpur,https://www.animasia-studio.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/animasia-studio/"
Armada Content Company,EUA,No data was found,http://www.armada.company,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/armada-content-company/"
Artemple-Hollywood,EUA,Culver City,https://www.artemplehollywood.com,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.artemplehollywood.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/artemple-hollywood/"
Artjail,EUA / Canadá,Santa Monica New York Toronto,https://Artjail.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Artjail. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/artjail/
Atomic Cartoon,EUA / Canadá,Burbank CA Ottawa Vancouver,https://atomiccartoons.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Atomic Cartoons (Joey Wilson, Head of CG Assets). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/atomic-cartoon/"
Attack Motion Design,EUA,Chicago,https://www.attackmotiondesign.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/attack-motion-design/"
Austin Visual,EUA,Austin,https://austinvisuals.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/austin-visual/"
Awesome Incorporated,EUA,Atlanta,https://www.awesomeinc.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/awesome-incorporated/"
Base fx,EUA,Los Angeles Xiamen Wuxi Kuala Lumpur Beijing,https://www.base-fx.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/base-fx/
Bento Box Entertainment,EUA,Atlanta North Hollywood,https://www.bentoboxent.com/,nao,nao_encontrada,,,ATS detectado (lever) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/bento-box-entertainment/
Binyan,EUA / Reino Unido / Austrália,Dubaï Prahran Londres New York Erskineville,https://binyanstudios.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.binyanstudios.com/what-we-do/#careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/binyan/"
BioWare,EUA / Canadá,Austin Edmonton,https://www.bioware.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.bioware.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/bioware/"
Blue Sky Studios,EUA,"Greenwich, Blue Sky",https://blueskystudios.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/blue-sky/
Blur Studio,EUA,Culver City,https://blur.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Blur Studio. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/blur-studio/
Bot VFX,EUA,Atlanta,https://botvfx.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://botvfx.com/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/bot-vfx/"
Brainstorm Digital,EUA,New York,https://www.brainstorm-digital.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.brainstorm-digital.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/brainstorm-digital/"
Brazen Animation,EUA,Dallas,https://www.brazenanimation.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.brazenanimation.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/brazen-animation/"
Brickyard VFX,EUA,Boston,https://www.brickyardvfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/brickyard-vfx/"
BWA Studios,EUA,New York,https://www.bwastudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bwa-studios/"
Cadence Effects,EUA,New Lebanon,https://cadence-effects.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/cadence-effects/"
Calabash Animation,EUA,Chicago,https://calabashanimation.com,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Calabash. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/calabash-animation/
Cannonball VFX,EUA,Portland,https://www.cannonballvfx.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/cannonball-vfx/"
Cantina Creative,EUA,Los Angeles,https://www.cantinacreative.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.cantinacreative.com/careerspage): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/cantina-creative/"
Carbon,EUA,Los Angeles,https://www.carbonvfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/carbon/"
Cartoon Network Studios,EUA,Burbank,https://www.cartoonnetworkstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/cartoon-network-studios/"
CBS VFX,EUA,Los Angeles,https://www.cbs-vfx.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/cbs-vfx/"
Chicken Bone VF,EUA,Los Angeles,https://chickenbonefx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/chicken-bone-vfx/"
CineMagix Labs,EUA,North Miami,https://www.cinemagixlabs.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.cinemagixlabs.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/cinemagix-labs/"
Clear Angle Studios,EUA / Reino Unido / Canadá,London Atlanta Los Angeles Vancouver,https://www.clearanglestudios.co.uk/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.clearanglestudios.co.uk/career-opportunities/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/clear-angle-studios/"
Control Shift Video,EUA,Houston,https://controlshiftvideo.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://controlshiftvideo.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/control-shift-video/"
Dark Catt Studios,EUA,Chicago,https://darkcatt.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://darkcatt.com/careers.html): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/dark-catt-studios/"
Day for Nite,EUA,Los Angeles,https://www.dayfornite.com,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Day For Nite. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/day-for-nite/
Deeproot Studios,EUA,Sandy,https://deeprootstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/deeproot-studios/"
Deluxe,EUA,Burbank,https://www.bydeluxe.com/,nao,nao_encontrada,,,ATS detectado (workday) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/deluxe/
Digital Brew,EUA,Orlando,https://www.digitalbrew.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.digitalbrew.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/digital-brew/"
Digital Domain,EUA,Los Angeles,https://www.digitaldomain.com/,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Digital Domain (portal de carreiras). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/digital-domain/
Digital Frontier FX,EUA,Los Angeles,https://www.digitalfrontierfx.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (mailto:jobs@digitalfrontierfx.com): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/digital-frontier-fx/"
Digital Image Studios,EUA,Michigan,https://www.dimage.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.dimage.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/digital-image-studios/"
Digital Kitchen,EUA,Los Angeles,https://thisisdk.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/digital-kitchen/"
DreamWorks Animation,EUA,Glendale,https://www.dreamworks.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (nome): DreamWorks Animation (Senior Producer, Assets, Montréal). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/dreamworks-animation/"
East of LA VFX,EUA,Burbank,https://www.eastoflavfx.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/east-of-la-vfx/"
East Side Effects,EUA,New York,https://www.ese.nyc/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://ese.nyc/jobs/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/east-side-effects/"
Eight VFX,EUA,Los Angeles,https://www.eightvfx.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/eight-vfx/
Element X,EUA,Dallas,https://elementxcreative.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/element-x/"
Evening Star,EUA,Los Angeles,https://eveningstar.studio/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://eveningstar.studio/careers.html): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/evening-star/"
Evil Eye Pictures,EUA,San Francisco,https://www.evileyepictures.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.evileyepictures.com/jobs/no-open-positions): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/evil-eye-pictures/"
Factory VFX,EUA,San Francisco,https://www.factoryvfx.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.factoryvfx.com/jobs.html): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/factory-vfx/"
Fern,EUA,Atlanta,https://www.fern.team/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/fern/"
Flavor,EUA,Los Angeles,https://flavor.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/flavor/"
Fox VFX lab,EUA,Los Angeles,https://www.foxvfxlab.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.ilm.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/fox-vfx-lab/"
Furious FX,EUA,Burbank,https://www.furiousvfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/furious-fx/"
Fuse Animation,EUA,Minneapolis,https://www.fuseanimation.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/fuse-animation/"
Green Gold Animation,EUA / Singapura,Hyderabad Los Angeles Singapore,https://www.greengold.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/green-gold-animation/"
Halon Entertainment,EUA,Los Angeles,https://www.halon.com,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/halon-entertainment/"
Hoax Films,EUA,Los Angeles,https://hoaxfilms.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/hoax-films/"
Hook,EUA,Ann Arbor,https://byhook.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Hook. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/hook/
Hootenanny,EUA,Chicago,https://www.hootenanny.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/hootenanny/"
Hydraulx,EUA,Los Angeles,https://www.hydraulx.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Hydraulx VFX (Senior Modeler e Mid Modeler, Vancouver). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/hydraulx/"
iBelieveInSwordfish,EUA,San Rafael,https://www.swordfish-sf.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/ibelieveinswordfish/"
ILM (Industrial Light &#038; Magic),EUA / Reino Unido / Austrália / Canadá,Mumbai Vancouver San Francisco Moore Park Londres ILM (Industrial Light & Magic),https://www.ilm.com,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Lucasfilm e Industrial Light & Magic (Ivan Busquets, VFX Supervisor). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/ilm/"
Imaginary Forces,EUA,Los Angeles,https://www.imaginaryforces.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/imaginary-forces/"
Indigo Studios,EUA,Atlanta,https://www.indigostudios.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (mailto:careers@indigostudios.com): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/indigo-studios/"
Infusion Studios,EUA,Portland,https://www.infusionstudios3d.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.infusionstudios3d.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/infusion-studios/"
Ingenuity Studios,EUA,Los Angeles,https://www.ingenuitystudios.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.ingenuitystudios.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/ingenuity-studios/"
Jamm,EUA,Culver City,https://www.jamm.la,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/jamm/
Janimation,EUA,Dallas,https://www.janimation.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/janimation/"
