nome,pais,site,dominio,token,classe
Edenic Era LLC,United States,,,edenicerallc,jogos
Edenic Games,Spain,,,edenicgames,jogos
Edge Games,United States,http://www.edgegames.com,edgegames.com,edgegames,jogos
Edge of Reality,United States,http://www.edgeofreality.com/,edgeofreality.com,edgeofreality,jogos
Eerie Bear Games,,,,eeriebeargames,jogos
EfimovMax,,,,efimovmax,jogos
EggNut,Canada,https://eggnut.net,eggnut.net,eggnut,jogos
Eggcode Games,Germany,https://www.eggcodegames.com/,eggcodegames.com,eggcodegames,jogos
Egmont Publishing Digital,Denmark,,,egmontpublishingdigital,jogos
Ego Software,,,,egosoftware,jogos
Egosoft,Germany,https://www.egosoft.com/,egosoft.com,egosoft,jogos
Eiconic Games,United Kingdom,,,eiconicgames,jogos
Eidos Interactive,United Kingdom,http://www.eidos.com/,eidos.com,eidosinteractive,jogos
Eidos Montreal,Canada,https://www.eidosmontreal.com/,eidosmontreal.com,eidosmontreal,jogos
Eight Points,,,,eightpoints,jogos
EightyEight Games,United Kingdom,http://eightyeightgames.com/,eightyeightgames.com,eightyeightgames,jogos
Einzelartig Games,Germany,https://www.einzelartig.com/,einzelartig.com,einzelartiggames,jogos
Eirtep,,,,eirtep,jogos
Ektomarch,,,,ektomarch,jogos
Eld Interaktiv Produktions,Sweden,,,eldinteraktivproduktions,jogos
Elder Games,,,,eldergames,jogos
Elecorn,,,,elecorn,jogos
Electric Dreams,United States,,,electricdreams,jogos
Electric Games,,,,electricgames,jogos
Electric Square,United Kingdom,https://www.electricsquare.com/,electricsquare.com,electricsquare,jogos
ElectricPuke,,http://boyfriendtodeath.com/pgs/index.php,boyfriendtodeath.com,electricpuke,jogos
Electronic Arts,United States,https://www.ea.com,ea.com,electronicarts,jogos
Electronic Arts Chicago,,,,electronicartschicago,jogos
Electrotank,,,,electrotank,jogos
Elektrogames,France,,,elektrogames,jogos
Elemental Games,,,,elementalgames,jogos
Eleon Game Studios,,,,eleongamestudios,jogos
Elephant Games,,http://www.elephant-games.com/,elephant-games.com,elephantgames,jogos
Elf Games,Italy,https://elfgames.com/,elfgames.com,elfgames,jogos
Elias Viglione,,,,eliasviglione,jogos
Elite Systems,United Kingdom,http://www.elite-systems.co.uk/,elite-systems.co.uk,elitesystems,jogos
Elixir Studios,United Kingdom,,,elixirstudios,jogos
Ellada Games,,,,elladagames,jogos
Elliptic Games,United States,https://elliptic-games.com/,elliptic-games.com,ellipticgames,jogos
Eloquence Entertainment,Spain,,,eloquenceentertainment,jogos
Elseware Experience,France,http://www.elseware-experience.com,elseware-experience.com,elsewareexperience,jogos
Elsewhere Entertainment,Poland,,,elsewhereentertainment,jogos
Elsinore Multimedia,United States,,,elsinoremultimedia,jogos
Elva Femtiofem Media,Sweden,,,elvafemtiofemmedia,jogos
Embark Studios,Sweden,https://www.embark-studios.com,embark-studios.com,embarkstudios,jogos
Ember Entertainment,United States,http://ember-entertainment.com/,ember-entertainment.com,emberentertainment,jogos
Ember Lab,United States,https://www.emberlab.com,emberlab.com,emberlab,jogos
Ember Trail,Sweden,http://badyolkgames.com/,badyolkgames.com,embertrail,jogos
Emberheart Games,Slovenia,,,emberheartgames,jogos
Embers,France,https://embers.games/,embers.games,embers,jogos
Eminoma,,,,eminoma,jogos
Emotional Pictures,Denmark,,,emotionalpictures,jogos
Empire Interactive,United Kingdom,,,empireinteractive,jogos
Empire Oxford,,,,empireoxford,jogos
Empty Clip Studios,United States,https://www.emptyclipstudios.com/,emptyclipstudios.com,emptyclipstudios,jogos
Encore,United States,,,encore,jogos
Endgame Studios,Australia,,,endgamestudios,jogos
Endless Coffee,Spain,,,endlesscoffee,jogos
Endless Loop Studios,,,,endlessloopstudios,jogos
EndlessFluff Games,United States,https://endlessfluff.games/,endlessfluff.games,endlessfluffgames,jogos
Endnight Games,Canada,https://endnightgames.com/,endnightgames.com,endnightgames,jogos
Engine Software,Netherlands,http://www.engine-software.com/,engine-software.com,enginesoftware,jogos
Engineering Animation,,,,engineeringanimation,jogos
English Software,United Kingdom,,,englishsoftware,jogos
Enhance,United States,http://www.enhance-experience.com/,enhance-experience.com,enhance,jogos
Enhance Games,,,,enhancegames,jogos
Enigma Variations,United Kingdom,,,enigmavariations,jogos
Enigmatic Machines,,,,enigmaticmachines,jogos
Enjoy Studio,Poland,https://www.enjoystudio.com/,enjoystudio.com,enjoystudio,jogos
EnjoyUp,Spain,http://www.enjoyup.com,enjoyup.com,enjoyup,jogos
Enlightened Robot Entertainment,Austria,https://enlightenedrobot.com/,enlightenedrobot.com,enlightenedrobotentertainment,jogos
Ennui Studio,,,,ennuistudio,jogos
Enodo Games,France,,,enodogames,jogos
Enoops,,,,enoops,jogos
Entrada Interactive LLC,,,,entradainteractivellc,jogos
Envision Entertainment,Germany,https://www.envision-entertainment.de/,envision-entertainment.de,envisionentertainment,jogos
Envoidant Studios,United Kingdom,,,envoidantstudios,jogos
EpiXR Games,,https://www.epixrgames.com/,epixrgames.com,epixrgames,jogos
Epic Marketing,,,,epicmarketing,jogos
Epicenter Studios,United States,http://www.epicenter-studios.com/sites/epicenter2/ec_games.php,epicenter-studios.com,epicenterstudios,jogos
Epiphany Games,,https://www.epiphanygames.net/,epiphanygames.net,epiphanygames,jogos
Episode Interactive,,https://www.episodeinteractive.com,episodeinteractive.com,episodeinteractive,jogos
Epsitec SA,Switzerland,https://www.epsitec.ch/,epsitec.ch,epsitecsa,jogos
Epyx,United States,,,epyx,jogos
Equilibrium,United States,,,equilibrium,jogos
"Equilibrium, Inc.",United States,,,equilibriuminc,jogos
Eremite Games,Poland,https://eremitegames.com/,eremitegames.com,eremitegames,jogos
Ertal Games,,,,ertalgames,jogos
Estudio Vaca roxa,,,,estudiovacaroxa,jogos
Estudios Kremlinois,,,,estudioskremlinois,jogos
Etermax,,,,etermax,jogos
Eugen Systems,France,http://www.eugen.fr/,eugen.fr,eugensystems,jogos
Euphoria,Netherlands,,,euphoria,jogos
Euphoric Brothers,Canada,https://www.euphoricbrothers.com,euphoricbrothers.com,euphoricbrothers,jogos
Eurocom,United Kingdom,http://www.eurocom.co.uk,eurocom.co.uk,eurocom,jogos
Eurogold,,,,eurogold,jogos
European Integration Studio,,,,europeanintegrationstudio,jogos
Eutechnyx,United Kingdom,http://www.eutechnyx.com,eutechnyx.com,eutechnyx,jogos
EverCats,,,,evercats,jogos
Everbyte,Germany,https://everbytestudio.com,everbytestudio.com,everbyte,jogos
Everglow Interactive Inc.,,,,everglowinteractiveinc,jogos
Everplay Interactive,United States,,,everplayinteractive,jogos
Eversim,France,http://www.eversim.com/,eversim.com,eversim,jogos
Everywear Games,Finland,http://everyweargames.com/,everyweargames.com,everyweargames,jogos
Evil Empire,France,https://evilempirestudio.com/,evilempirestudio.com,evilempire,jogos
Evil Twin Artworks,United Kingdom,http://eviltwinartworks.com/,eviltwinartworks.com,eviltwinartworks,jogos
Evolution Games,,,,evolutiongames,jogos
Evolution Studios,United Kingdom,https://www.evos.net,evos.net,evolutionstudios,jogos
Evolution Trading AG,Switzerland,,,evolutiontradingag,jogos
Evryware,United States,http://www.evryware.com,evryware.com,evryware,jogos
Exbleative,,http://www.exbleative.com/,exbleative.com,exbleative,jogos
Exient Entertainment,United Kingdom,https://www.exient.com/,exient.com,exiententertainment,jogos
Exiled Game Team,,,,exiledgameteam,jogos
Exis Interactive,United States,,,exisinteractive,jogos
Exit 73 Studios,United States,http://www.exit73studios.com/,exit73studios.com,exit73studios,jogos
Exkee,France,https://www.exkee.com,exkee.com,exkee,jogos
Expansive Worlds,Sweden,http://www.expansiveworlds.com/,expansiveworlds.com,expansiveworlds,jogos
Experiment 101,Sweden,https://experiment101.com,experiment101.com,experiment101,jogos
Exponential Games,Canada,http://exponentialgamesinc.com,exponentialgamesinc.com,exponentialgames,jogos
Extra Mile Studios,United Kingdom,http://www.emstudios.co.uk/,emstudios.co.uk,extramilestudios,jogos
Extra Nice,Netherlands,https://www.extra-nice.net/,extra-nice.net,extranice,jogos
Extra Toxic,,,,extratoxic,jogos
Extremely OK Games,Canada,https://exok.com,exok.com,extremelyokgames,jogos
Extrokold Games,United States,http://extrokold.com,extrokold.com,extrokoldgames,jogos
Eyebrow Interactive,,,,eyebrowinteractive,jogos
F1 Licenceware,,,,f1licenceware,jogos
F4,,http://www.f4-group.com,f4-group.com,f4,jogos
FAS3,Spain,https://fas3studios.com/,fas3studios.com,fas3,jogos
FASA Studio,United States,,,fasastudio,jogos
FIVE-BN,Ukraine,https://five-bn.com/,five-bn.com,fivebn,jogos
FLAT12,,,,flat12,jogos
FM Studio,Italy,https://www.fm-studio.net/,fm-studio.net,fmstudio,jogos
FMV Interactive,,,,fmvinteractive,jogos
FOAM Entertainment,United Kingdom,,,foamentertainment,jogos
FTX Games,United States,https://ftxgames.com/,ftxgames.com,ftxgames,jogos
FUNYOURS TECHNOLOGY,,http://www.fy.com.tw,fy.com.tw,funyourstechnology,jogos
FYRE Games,United States,https://www.fyregames.com/,fyregames.com,fyregames,jogos
Fabraz,United States,https://www.fabraz.com/,fabraz.com,fabraz,jogos
Facepalm Games,Finland,,,facepalmgames,jogos
Faceroll Games,,http://www.facerollgames.com,facerollgames.com,facerollgames,jogos
Factor 5,Germany,http://www.factor5.com/,factor5.com,factor5,jogos
Factor 5,United States,http://www.factor5.com/,factor5.com,factor5,jogos
Factor 5 GmbH,United States,,,factor5gmbh,jogos
Failbetter Games,United Kingdom,http://www.failbettergames.com/,failbettergames.com,failbettergames,jogos
Fair Play Labs,,,,fairplaylabs,jogos
Fairy Mount Games,,https://fairymount.com,fairymount.com,fairymountgames,jogos
Fakt Software,,http://www.fakt-software.com/,fakt-software.com,faktsoftware,jogos
Falanxia,Czech Republic,,,falanxia,jogos
Falcomedia,,,,falcomedia,jogos
Falcon Development,United States,,,falcondevelopment,jogos
Fallen Tree Games,United Kingdom,https://fallentreegames.com/,fallentreegames.com,fallentreegames,jogos
Falling Squirrel,Canada,https://www.fallingsquirrel.com/,fallingsquirrel.com,fallingsquirrel,jogos
Family Production,South Korea,,,familyproduction,jogos
Fan Visual,Spain,https://visualnovelparapc.blogspot.com/,visualnovelparapc.blogspot.com,fanvisual,jogos
Fantahorn Studio,,,,fantahornstudio,jogos
Fantastico Studio,Italy,https://www.fantasticostudio.it/,fantasticostudio.it,fantasticostudio,jogos
FarSight Studios,United States,http://www.farsightstudios.com/,farsightstudios.com,farsightstudios,jogos
Farlight Games Industry,Spain,https://www.farlightgamesindustry.com/,farlightgamesindustry.com,farlightgamesindustry,jogos
Farmind,Finland,,,farmind,jogos
Fast Travel Games,Sweden,https://www.fasttravelgames.com/,fasttravelgames.com,fasttravelgames,jogos
FastGame,,,,fastgame,jogos
Fatbot Games,Slovakia,https://fatbot-games.com,fatbot-games.com,fatbotgames,jogos
Fateless,,https://www.fateless.gg/,fateless.gg,fateless,jogos
Fathammer,,,,fathammer,jogos
Fatshark,Sweden,http://www.fatsharkgames.com/,fatsharkgames.com,fatshark,jogos
Favorite,,,,favorite,jogos
Fawn Dawn Studios,,,,fawndawnstudios,jogos
Feel Free Games,Netherlands,,,feelfreegames,jogos
Fein Games,Germany,https://www.fein.games/,fein.games,feingames,jogos
Feline Fuelled Games,,http://www.felinefuelledgames.de/,felinefuelledgames.de,felinefuelledgames,jogos
Fellow Traveller,,https://www.fellowtraveller.games/,fellowtraveller.games,fellowtraveller,jogos
Fen Research,United Kingdom,https://www.fenresearch.com/,fenresearch.com,fenresearch,jogos
Fenix Fire Entertainment,,,,fenixfireentertainment,jogos
"Fenn’s Gaming Dojo Co., Ltd.",United States,,,fennsgamingdojocoltd,jogos
Fenris Creations,Iceland,https://fenris.com/,fenris.com,fenriscreations,jogos
Feral Cat Den,,,,feralcatden,jogos
Feral Interactive,United Kingdom,https://www.feralinteractive.com/,feralinteractive.com,feralinteractive,jogos
Fervent,,,,fervent,jogos
Fiction Factory Games,United States,,,fictionfactorygames,jogos
Fiendish Games,United Kingdom,http://www.fiendishgames.com,fiendishgames.com,fiendishgames,jogos
Fika Productions,Canada,https://www.fikaproductions.com/,fikaproductions.com,fikaproductions,jogos
Filimundus,Sweden,https://www.filimundus.se/,filimundus.se,filimundus,jogos
FinBlade,,http://www.finblade.com,finblade.com,finblade,jogos
Final Form Games,,,,finalformgames,jogos
Final Scene Dev,Australia,https://www.finalscenedev.com,finalscenedev.com,finalscenedev,jogos
FinalBoss Games,,https://finalboss-games.com,finalboss-games.com,finalbossgames,jogos
Fineway Studios,,http://finewaystudios.com/,finewaystudios.com,finewaystudios,jogos
Fingersoft,Finland,https://fingersoft.com/,fingersoft.com,fingersoft,jogos
Finish Line Games,Canada,http://finishlinegames.com/,finishlinegames.com,finishlinegames,jogos
Finite Reflection Studios,United States,http://www.finitereflection.com/,finitereflection.com,finitereflectionstudios,jogos
FiniteMonkey,,,,finitemonkey,jogos
Finji,United States,https://finji.co/,finji.co,finji,jogos
FiolaSoft Studio,Czech Republic,http://www.fiolasoft.cz/,fiolasoft.cz,fiolasoftstudio,jogos
Firaxis Games,United States,https://www.firaxis.com/,firaxis.com,firaxisgames,jogos
Fire Hose Games,,,,firehosegames,jogos
Fire Maple Games,United States,http://www.firemaplegames.com,firemaplegames.com,firemaplegames,jogos
Fireart Games,,https://fireart.games/,fireart.games,fireartgames,jogos
Firebrand Games,United Kingdom,http://firebrandgames.com/,firebrandgames.com,firebrandgames,jogos
Firecraft Studios,,https://www.firecraftstudios.com/,firecraftstudios.com,firecraftstudios,jogos
Firefly Games,United States,http://www.fireflygames.com/,fireflygames.com,fireflygames,jogos
Firefly Studios,United Kingdom,http://www.fireflyworlds.com/,fireflyworlds.com,fireflystudios,jogos
Fireglow Games,Cyprus,http://www.fireglowgames.com,fireglowgames.com,fireglowgames,jogos
Fireline Games,Poland,http://firelinegames.com/,firelinegames.com,firelinegames,jogos
Firemonkeys Studios,,http://www.firemonkeys.com.au/,firemonkeys.com.au,firemonkeysstudios,jogos
Fireplace Games,France,https://fireplace-games.com/,fireplace-games.com,fireplacegames,jogos
Fireproof Studios,United Kingdom,https://www.fireproofgames.com/,fireproofgames.com,fireproofstudios,jogos
Firepunchd,Germany,https://firepunchd.com,firepunchd.com,firepunchd,jogos
Firesprite,United Kingdom,https://www.firesprite.com,firesprite.com,firesprite,jogos
Firewalk Studios,United States,https://www.firewalkstudios.com/,firewalkstudios.com,firewalkstudios,jogos
Firi Games,Netherlands,https://firigames.com/,firigames.com,firigames,jogos
First Star Software,United States,http://www.firststarsoftware.com/,firststarsoftware.com,firststarsoftware,jogos
First Step Cinematics,United States,https://firststepcinematics.com/,firststepcinematics.com,firststepcinematics,jogos
First Touch Games,United Kingdom,https://www.ftgames.com/,ftgames.com,firsttouchgames,jogos
Fish Factory Games,,,,fishfactorygames,jogos
Fish in a Bottle,United Kingdom,http://www.fishinabottle.com,fishinabottle.com,fishinabottle,jogos
Fishing Planet LLC,,https://fishingplanet.com/,fishingplanet.com,fishingplanetllc,jogos
Fishlabs,Germany,https://www.dsfishlabs.com,dsfishlabs.com,fishlabs,jogos
Five Studio Interactive,,,,fivestudiointeractive,jogos
Fiveamp,,https://fiveamp.com,fiveamp.com,fiveamp,jogos
FivexGames,,https://fivexgames.com/,fivexgames.com,fivexgames,jogos
Fizz Factor,United States,,,fizzfactor,jogos
Flagship Studios,United States,http://www.flagshipstudios.com/,flagshipstudios.com,flagshipstudios,jogos
Flair Software,United Kingdom,,,flairsoftware,jogos
Flamebait Games,Sweden,https://www.flamebaitgames.com/,flamebaitgames.com,flamebaitgames,jogos
Flaming Fowl Studios,United Kingdom,http://www.flamingfowlstudios.com/,flamingfowlstudios.com,flamingfowlstudios,jogos
Flashback Games,,,,flashbackgames,jogos
Flashbulb Games,Denmark,https://www.flashbulbgames.com/,flashbulbgames.com,flashbulbgames,jogos
Flat 2 VR,,https://flat2vrstudios.com/,flat2vrstudios.com,flat2vr,jogos
Flatbox Studios,,,,flatboxstudios,jogos
Flazm,,http://flazm.com,flazm.com,flazm,jogos
FlexileStudio,,,,flexilestudio,jogos
Flight School Studio,United States,,,flightschoolstudio,jogos
Flightless,New Zealand,https://www.flightless.co.nz/,flightless.co.nz,flightless,jogos
FlipSwitch Games,,,,flipswitchgames,jogos
Flipline Studios,United States,https://www.flipline.com,flipline.com,fliplinestudios,jogos
Flippfly LLC,United States,http://flippfly.com/,flippfly.com,flippflyllc,jogos
Flow Fire Games,Germany,https://www.flowfiregames.com/,flowfiregames.com,flowfiregames,jogos
Flow Studio,Australia,https://www.flowgamestudio.com/,flowgamestudio.com,flowstudio,jogos
Flox Studios Ltd.,,,,floxstudiosltd,jogos
FlutterBeam,,,,flutterbeam,jogos
Fly System,,,,flysystem,jogos
Flying Cafe for Semianimals,,http://flying-cafe.com/,flying-cafe.com,flyingcafeforsemianimals,jogos
Flying Helmet Games,,,,flyinghelmetgames,jogos
Flying Islands Team,,,,flyingislandsteam,jogos
Flying Tiger Development,,,,flyingtigerdevelopment,jogos
Flying Wild Hog,Poland,http://www.flyingwildhog.com/,flyingwildhog.com,flyingwildhog,jogos
FoamPunch,,,,foampunch,jogos
FobTi interactive,Slovakia,https://www.fobti-interactive.com/,fobti-interactive.com,fobtiinteractive,jogos
Focus Home Interactive,France,https://www.focus-entmt.com,focus-entmt.com,focushomeinteractive,jogos
Follow The Fun,,,,followthefun,jogos
Fool's Theory,Poland,https://www.foolstheory.com/,foolstheory.com,foolstheory,jogos
Foolish Mortals,Canada,http://www.foolish-mortals.net/,foolish-mortals.net,foolishmortals,jogos
FootballTeam,,,,footballteam,jogos
For Kids,,,,forkids,jogos
Foreignvr,,,,foreignvr,jogos
Forever Entertainment,Poland,https://forever-entertainment.com/,forever-entertainment.com,foreverentertainment,jogos
Forgotten Empires,United States,http://www.forgottenempires.net,forgottenempires.net,forgottenempires,jogos
Forgotten Hope Devs,,,,forgottenhopedevs,jogos
Formant,Canada,https://www.formant.ca,formant.ca,formant,jogos
Formula,,,,formula,jogos
Fortress Forever Development Team,,,,fortressforeverdevelopmentteam,jogos
FortuneFish,,http://www.fortunefish.co.uk,fortunefish.co.uk,fortunefish,jogos
Fossilized Games,,https://fossilizedgames.com/,fossilizedgames.com,fossilizedgames,jogos
Foundation 9 Entertainment,United States,,,foundation9entertainment,jogos
Fountainhead Entertainment,,,,fountainheadentertainment,jogos
Four Circle Interactive,,http://www.fourcircleinteractive.co.uk/,fourcircleinteractive.co.uk,fourcircleinteractive,jogos
Four Door Lemon,United Kingdom,http://www.fourdoorlemon.com/,fourdoorlemon.com,fourdoorlemon,jogos
Fox Digital Entertainment,,,,foxdigitalentertainment,jogos
Fractal Projects,,,,fractalprojects,jogos
Fractile Games,Finland,https://www.fractilegames.com/,fractilegames.com,fractilegames,jogos
Frag Lab,Ukraine,,,fraglab,jogos
Frame Studio,Italy,,,framestudio,jogos
FreakZone Games,,,,freakzonegames,jogos
Free Fall Associates,,,,freefallassociates,jogos
Free Range Games,United States,https://www.freerangegames.com/,freerangegames.com,freerangegames,jogos
FreeAnimals_Software,,,,freeanimalssoftware,jogos
FreeMind,Poland,https://freemind.games,freemind.games,freemind,jogos
Freeciv Team,,,,freecivteam,jogos
Freegamer,France,,,freegamer,jogos
Freehold Games,,http://www.freeholdgames.com/,freeholdgames.com,freeholdgames,jogos
Freejam,,,,freejam,jogos
Freeverse,United States,http://www.freeverse.com,freeverse.com,freeverse,jogos
Freeze Tag,,,,freezetag,jogos
Fresh 3D,,,,fresh3d,jogos
FreshGames,United States,http://www.freshgames.com/,freshgames.com,freshgames,jogos
Freshplanet,United States,https://www.freshplanet.com/,freshplanet.com,freshplanet,jogos
Frictional Games,Sweden,https://www.frictionalgames.com/,frictionalgames.com,frictionalgames,jogos
FriendTimes,,,,friendtimes,jogos
Frima Studio,Canada,http://www.frimastudio.com,frimastudio.com,frimastudio,jogos
Frog City Software,United States,,,frogcitysoftware,jogos
Frog Vibes,Netherlands,https://frogvibes.com,frogvibes.com,frogvibes,jogos
Frogames,France,http://www.frogames.com/,frogames.com,frogames,jogos
Frogmind,Finland,http://www.frogmind.com/,frogmind.com,frogmind,jogos
Frogsong Studios,Sweden,https://frogsong-studios.com/,frogsong-studios.com,frogsongstudios,jogos
Frogwares,Ukraine,http://www.frogwares.com/,frogwares.com,frogwares,jogos
From The Bench Digital Entertainment,Spain,http://fromthebenchgames.com,fromthebenchgames.com,fromthebenchdigitalentertainment,jogos
FromSouthGames,,,,fromsouthgames,jogos
Front Fareast Industrial,,,,frontfareastindustrial,jogos
FrontLine Studios,,,,frontlinestudios,jogos
Frontier Developments,United Kingdom,https://www.frontier.co.uk/,frontier.co.uk,frontierdevelopments,jogos
Frost Giant Studios,United States,https://frostgiant.com,frostgiant.com,frostgiantstudios,jogos
FrostPeek Studio,,,,frostpeekstudio,jogos
Frosty Pop,Canada,https://frostypop.com/,frostypop.com,frostypop,jogos
Frozen Codebase,United States,http://www.frozencodebase.com,frozencodebase.com,frozencodebase,jogos
Frozen North Productions,Canada,,,frozennorthproductions,jogos
FrozenPixel Studios,,https://fpxstudio.com/,fpxstudio.com,frozenpixelstudios,jogos
Frozenbyte,Finland,https://www.frozenbyte.com/,frozenbyte.com,frozenbyte,jogos
Fugazo,United States,,,fugazo,jogos
Full Circle,Canada,https://www.ea.com/ea-studios/full-circle,ea.com,fullcircle,jogos
Full Fat,United Kingdom,http://www.full-fat.com,full-fat.com,fullfat,jogos
Full Fat Productions Ltd.,United Kingdom,,,fullfatproductionsltd,jogos
FullBluff Studio,,,,fullbluffstudio,jogos
Fullbright,United States,https://fullbrig.ht/,fullbrig.ht,fullbright,jogos
Fully Bugged,France,https://fullybugged.com/,fullybugged.com,fullybugged,jogos
Fun Bits Interactive,United States,http://www.funbits.com/,funbits.com,funbitsinteractive,jogos
Fun Infused Games,,,,funinfusedgames,jogos
Funatics Software,Germany,http://www.funatics.de/,funatics.de,funaticssoftware,jogos
Funbox Media,United Kingdom,https://funboxmedia.co.uk/,funboxmedia.co.uk,funboxmedia,jogos
Funcom,Norway,https://www.funcom.com,funcom.com,funcom,jogos
Funcom Dublin Ltd.,Ireland,,,funcomdublinltd,jogos
Funktronic Labs,United States,https://funktroniclabs.com/,funktroniclabs.com,funktroniclabs,jogos
Funky Can Creative,,,,funkycancreative,jogos
Funomena,United States,https://www.funomena.com,funomena.com,funomena,jogos
Funtastic,United States,,,funtastic,jogos
Furry Dreams Lab,,,,furrydreamslab,jogos
Fury Software,Canada,https://www.furysoftware.com/,furysoftware.com,furysoftware,jogos
Fusionsphere Systems,,,,fusionspheresystems,jogos
Fusty Game,France,http://www.fustygame.fr/,fustygame.fr,fustygame,jogos
FuturLab,,https://www.futurlab.co.uk/,futurlab.co.uk,futurlab,jogos
Future Games,Czech Republic,http://www.futuregames.cz,futuregames.cz,futuregames,jogos
Future Games Of London,,http://www.futuregamesoflondon.com/,futuregamesoflondon.com,futuregamesoflondon,jogos
Future Proof Games,United States,http://futureproofgames.com/,futureproofgames.com,futureproofgames,jogos
Futuretown,,,,futuretown,jogos
Fuzz Force,United Kingdom,,,fuzzforce,jogos
Fuzzyeyes,,,,fuzzyeyes,jogos
Féérik Games,,https://www.feerikgames.com/,feerikgames.com,frikgames,jogos
G-OLD,,,,gold,jogos
G-TraX Simulations,,,,gtraxsimulations,jogos
G.J?,,http://www.teck.co.jp/gj/,teck.co.jp,gj,jogos
G1M2,United States,,,g1m2,jogos
G2CREW,,,,g2crew,jogos
G5 Entertainment,Sweden,https://www.g5e.com,g5e.com,g5entertainment,jogos
GAMFS N,South Korea,https://www.gamfs.co.kr/,gamfs.co.kr,gamfsn,jogos
GB Patch Games,,,,gbpatchgames,jogos
GD Studio,Sweden,https://www.diabotical.com/,diabotical.com,gdstudio,jogos
GDTeam,,,,gdteam,jogos
GFX47,France,http://gfx47.com/,gfx47.com,gfx47,jogos
GNISoft,,,,gnisoft,jogos
GOAT Games,,https://goatgames.com/,goatgames.com,goatgames,jogos
GSC Game World,Ukraine,http://www.gsc-game.com,gsc-game.com,gscgameworld,jogos
GSP Games,United Kingdom,,,gspgames,jogos
GTE Interactive Media,United States,,,gteinteractivemedia,jogos
Gabriel Entertainment,United States,http://www.gabrielinteractive.com/,gabrielinteractive.com,gabrielentertainment,jogos
Gaddy Games,France,https://gaddygames.com,gaddygames.com,gaddygames,jogos
Gadir Team,Spain,,,gadirteam,jogos
Gaelco,Spain,http://www.gaelco.es,gaelco.es,gaelco,jogos
Gaijin Entertainment,Hungary,https://gaijinent.com/,gaijinent.com,gaijinentertainment,jogos
Gainplay / Gainsome,Netherlands,,,gainplaygainsome,jogos
Galaxy Grove,Netherlands,https://www.galaxy-grove.com/,galaxy-grove.com,galaxygrove,jogos
GalaxyTrail,,https://www.galaxytrail.com/,galaxytrail.com,galaxytrail,jogos
Galdra Studios,Denmark,https://galdrastudios.com/,galdrastudios.com,galdrastudios,jogos
Gambrinous,,,,gambrinous,jogos
Game Doctors,,http://www.gamedrs.com,gamedrs.com,gamedoctors,jogos
Game Machine Studios,United States,http://www.gamemachinestudios.com,gamemachinestudios.com,gamemachinestudios,jogos
Game Mechanic Studios,,http://www.gamemechs.com/#/,gamemechs.com,gamemechanicstudios,jogos
Game Nation,United States,http://gamenationparks.com,gamenationparks.com,gamenation,jogos
Game Oven,Netherlands,https://gameovenstudios.com/,gameovenstudios.com,gameoven,jogos
Game Refuge Inc.,United States,,,gamerefugeinc,jogos
Game Sauce,United Kingdom,,,gamesauce,jogos
Game Start LLC,,https://gamestart.jp,gamestart.jp,gamestartllc,jogos
Game Swing,Denmark,https://www.game-swing.com/,game-swing.com,gameswing,jogos
Game Tailors,Netherlands,http://www.gametailors.com,gametailors.com,gametailors,jogos
Game-Labs,,https://www.game-labs.net/,game-labs.net,gamelabs,jogos
GameDesignDan,United Kingdom,,,gamedesigndan,jogos
GameHouse,United States,https://www.gamehouse.com,gamehouse.com,gamehouse,jogos
GameInvest,Portugal,,,gameinvest,jogos
GameMixer,,,,gamemixer,jogos
GameOn Production,,https://www.gameonproduction.com,gameonproduction.com,gameonproduction,jogos
GameSim,United States,http://www.gamesim.com/,gamesim.com,gamesim,jogos
GameWorks,Switzerland,http://www.gameworks.ch/2010/index.php?m=0,gameworks.ch,gameworks,jogos
Gamebase,,,,gamebase,jogos
Gamedia,Netherlands,https://www.gamedia.nl,gamedia.nl,gamedia,jogos
Gameforge,Germany,http://www.gameforge.de/,gameforge.de,gameforge,jogos
Gamelearn,,,,gamelearn,jogos
Gamella Studios,,,,gamellastudios,jogos
Gameloft,France,http://www.gameloft.com/,gameloft.com,gameloft,jogos
Gameloft Divertissements Inc.,Canada,https://www.gameloft.com/gameloft-studios/montreal,gameloft.com,gameloftdivertissementsinc,jogos
Gameloft Iberica,Spain,,,gameloftiberica,jogos
Gamenauts,United States,http://www.gamenauts.com/,gamenauts.com,gamenauts,jogos
Gamepires,,,,gamepires,jogos
Gameplay First,,https://www.gameplay1st.com/,gameplay1st.com,gameplayfirst,jogos
Gamerizon,,http://www.gamerizon.com/,gamerizon.com,gamerizon,jogos
Gamers for Good,,,,gamersforgood,jogos
Games Distillery,Slovakia,,,gamesdistillery,jogos
Games Farm,Slovakia,,,gamesfarm,jogos
Games From Outer Space,,,,gamesfromouterspace,jogos
Games From The Deep,,,,gamesfromthedeep,jogos
Gamesoft,Spain,,,gamesoft,jogos
Gamesquad,,,,gamesquad,jogos
Gaming Minds Studios,Germany,http://www.gamingmindsstudios.com/,gamingmindsstudios.com,gamingmindsstudios,jogos
Gamious,Netherlands,https://www.gamious.com/,gamious.com,gamious,jogos
Gamma Play,,,,gammaplay,jogos
Gammafon,Sweden,http://www.gammafon.se,gammafon.se,gammafon,jogos
